# Module Profiling Results (NPU:7)
# Total modules: 313
====================================================================================================

Hook:111 | Mixed_6b.branch7x7_3.bn | Type:BatchNorm2d | FWD:409.73±2.05us | BWD:1404.49±8.02us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:110 | Mixed_6b.branch7x7_3.conv | Type:Conv2d | FWD:354.62±8.62us | BWD:1576.74±8.08us | In:(128, 128, 17, 17) | Out:(128, 192, 17, 17) | Params:172032

Hook:114 | Mixed_6b.branch7x7dbl_1.bn | Type:BatchNorm2d | FWD:379.15±13.88us | BWD:1084.49±8.77us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:113 | Mixed_6b.branch7x7dbl_1.conv | Type:Conv2d | FWD:515.04±5.74us | BWD:1764.82±9.62us | In:(128, 768, 17, 17) | Out:(128, 128, 17, 17) | Params:98304

Hook:117 | Mixed_6b.branch7x7dbl_2.bn | Type:BatchNorm2d | FWD:380.59±8.91us | BWD:1094.19±24.70us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:116 | Mixed_6b.branch7x7dbl_2.conv | Type:Conv2d | FWD:300.49±10.50us | BWD:1143.79±10.35us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:114688

Hook:120 | Mixed_6b.branch7x7dbl_3.bn | Type:BatchNorm2d | FWD:374.63±12.28us | BWD:1070.91±2.40us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:119 | Mixed_6b.branch7x7dbl_3.conv | Type:Conv2d | FWD:295.05±3.81us | BWD:1134.58±3.93us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:114688

Hook:123 | Mixed_6b.branch7x7dbl_4.bn | Type:BatchNorm2d | FWD:372.30±5.55us | BWD:1069.24±1.72us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:122 | Mixed_6b.branch7x7dbl_4.conv | Type:Conv2d | FWD:294.50±5.79us | BWD:1135.21±3.39us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:114688

Hook:126 | Mixed_6b.branch7x7dbl_5.bn | Type:BatchNorm2d | FWD:419.09±10.01us | BWD:1403.42±7.31us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:125 | Mixed_6b.branch7x7dbl_5.conv | Type:Conv2d | FWD:353.64±8.50us | BWD:1582.24±11.87us | In:(128, 128, 17, 17) | Out:(128, 192, 17, 17) | Params:172032

Hook:130 | Mixed_6b.branch_pool.bn | Type:BatchNorm2d | FWD:411.34±4.35us | BWD:1403.50±10.02us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:129 | Mixed_6b.branch_pool.conv | Type:Conv2d | FWD:747.54±12.80us | BWD:2354.05±18.57us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:134 | Mixed_6c.branch1x1.bn | Type:BatchNorm2d | FWD:418.49±10.12us | BWD:1407.45±10.53us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:133 | Mixed_6c.branch1x1.conv | Type:Conv2d | FWD:755.51±13.40us | BWD:2353.58±6.56us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:137 | Mixed_6c.branch7x7_1.bn | Type:BatchNorm2d | FWD:395.04±10.31us | BWD:1225.27±7.68us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:136 | Mixed_6c.branch7x7_1.conv | Type:Conv2d | FWD:928.20±5.26us | BWD:2348.07±12.48us | In:(128, 768, 17, 17) | Out:(128, 160, 17, 17) | Params:122880

Hook:140 | Mixed_6c.branch7x7_2.bn | Type:BatchNorm2d | FWD:396.43±13.26us | BWD:1212.51±2.44us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:139 | Mixed_6c.branch7x7_2.conv | Type:Conv2d | FWD:373.82±10.96us | BWD:1569.91±8.53us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:143 | Mixed_6c.branch7x7_3.bn | Type:BatchNorm2d | FWD:426.45±24.91us | BWD:1415.89±11.75us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:142 | Mixed_6c.branch7x7_3.conv | Type:Conv2d | FWD:406.62±10.36us | BWD:1780.84±13.01us | In:(128, 160, 17, 17) | Out:(128, 192, 17, 17) | Params:215040

Hook:146 | Mixed_6c.branch7x7dbl_1.bn | Type:BatchNorm2d | FWD:405.36±15.32us | BWD:1223.18±9.87us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:145 | Mixed_6c.branch7x7dbl_1.conv | Type:Conv2d | FWD:941.60±19.04us | BWD:2339.16±7.08us | In:(128, 768, 17, 17) | Out:(128, 160, 17, 17) | Params:122880

Hook:149 | Mixed_6c.branch7x7dbl_2.bn | Type:BatchNorm2d | FWD:381.68±4.64us | BWD:1221.25±11.47us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:148 | Mixed_6c.branch7x7dbl_2.conv | Type:Conv2d | FWD:389.95±31.46us | BWD:1576.94±6.87us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:152 | Mixed_6c.branch7x7dbl_3.bn | Type:BatchNorm2d | FWD:393.35±12.13us | BWD:1220.67±6.57us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:151 | Mixed_6c.branch7x7dbl_3.conv | Type:Conv2d | FWD:366.88±3.40us | BWD:1568.61±8.95us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:155 | Mixed_6c.branch7x7dbl_4.bn | Type:BatchNorm2d | FWD:388.98±2.06us | BWD:1221.50±10.52us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:154 | Mixed_6c.branch7x7dbl_4.conv | Type:Conv2d | FWD:376.29±7.75us | BWD:1576.31±6.36us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:158 | Mixed_6c.branch7x7dbl_5.bn | Type:BatchNorm2d | FWD:415.22±10.91us | BWD:1399.79±3.17us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:157 | Mixed_6c.branch7x7dbl_5.conv | Type:Conv2d | FWD:401.11±8.01us | BWD:1777.47±4.03us | In:(128, 160, 17, 17) | Out:(128, 192, 17, 17) | Params:215040

Hook:162 | Mixed_6c.branch_pool.bn | Type:BatchNorm2d | FWD:418.38±11.95us | BWD:1411.92±12.44us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:161 | Mixed_6c.branch_pool.conv | Type:Conv2d | FWD:756.87±14.12us | BWD:2357.29±15.13us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:166 | Mixed_6d.branch1x1.bn | Type:BatchNorm2d | FWD:415.89±6.41us | BWD:1414.68±12.82us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:165 | Mixed_6d.branch1x1.conv | Type:Conv2d | FWD:751.21±15.55us | BWD:2349.99±15.63us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:169 | Mixed_6d.branch7x7_1.bn | Type:BatchNorm2d | FWD:397.28±9.69us | BWD:1222.63±11.21us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:168 | Mixed_6d.branch7x7_1.conv | Type:Conv2d | FWD:937.03±8.25us | BWD:2338.84±12.47us | In:(128, 768, 17, 17) | Out:(128, 160, 17, 17) | Params:122880

Hook:172 | Mixed_6d.branch7x7_2.bn | Type:BatchNorm2d | FWD:397.73±15.24us | BWD:1219.19±13.54us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:171 | Mixed_6d.branch7x7_2.conv | Type:Conv2d | FWD:371.88±5.41us | BWD:1564.60±4.94us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:175 | Mixed_6d.branch7x7_3.bn | Type:BatchNorm2d | FWD:419.70±10.06us | BWD:1403.86±1.60us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:174 | Mixed_6d.branch7x7_3.conv | Type:Conv2d | FWD:403.88±11.50us | BWD:1772.60±8.66us | In:(128, 160, 17, 17) | Out:(128, 192, 17, 17) | Params:215040

Hook:178 | Mixed_6d.branch7x7dbl_1.bn | Type:BatchNorm2d | FWD:408.32±45.65us | BWD:1246.58±56.33us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:177 | Mixed_6d.branch7x7dbl_1.conv | Type:Conv2d | FWD:1016.79±44.38us | BWD:2341.72±11.43us | In:(128, 768, 17, 17) | Out:(128, 160, 17, 17) | Params:122880

Hook:181 | Mixed_6d.branch7x7dbl_2.bn | Type:BatchNorm2d | FWD:389.06±10.62us | BWD:1217.30±5.88us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:180 | Mixed_6d.branch7x7dbl_2.conv | Type:Conv2d | FWD:371.23±2.77us | BWD:1568.52±4.81us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:184 | Mixed_6d.branch7x7dbl_3.bn | Type:BatchNorm2d | FWD:390.89±2.68us | BWD:1220.98±6.47us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:183 | Mixed_6d.branch7x7dbl_3.conv | Type:Conv2d | FWD:370.63±5.47us | BWD:1569.02±4.14us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:187 | Mixed_6d.branch7x7dbl_4.bn | Type:BatchNorm2d | FWD:390.36±6.61us | BWD:1213.37±1.05us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:320

Hook:186 | Mixed_6d.branch7x7dbl_4.conv | Type:Conv2d | FWD:375.87±3.88us | BWD:1587.88±40.14us | In:(128, 160, 17, 17) | Out:(128, 160, 17, 17) | Params:179200

Hook:190 | Mixed_6d.branch7x7dbl_5.bn | Type:BatchNorm2d | FWD:412.12±5.67us | BWD:1396.83±4.09us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:189 | Mixed_6d.branch7x7dbl_5.conv | Type:Conv2d | FWD:392.27±5.45us | BWD:1775.39±8.11us | In:(128, 160, 17, 17) | Out:(128, 192, 17, 17) | Params:215040

Hook:194 | Mixed_6d.branch_pool.bn | Type:BatchNorm2d | FWD:430.86±34.87us | BWD:1407.44±11.76us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:193 | Mixed_6d.branch_pool.conv | Type:Conv2d | FWD:742.28±6.62us | BWD:2354.16±12.43us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:198 | Mixed_6e.branch1x1.bn | Type:BatchNorm2d | FWD:416.42±6.79us | BWD:1413.46±11.25us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:197 | Mixed_6e.branch1x1.conv | Type:Conv2d | FWD:743.35±7.21us | BWD:2346.40±7.80us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:201 | Mixed_6e.branch7x7_1.bn | Type:BatchNorm2d | FWD:426.35±18.81us | BWD:1416.23±17.74us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:200 | Mixed_6e.branch7x7_1.conv | Type:Conv2d | FWD:745.74±4.73us | BWD:2342.88±10.35us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:204 | Mixed_6e.branch7x7_2.bn | Type:BatchNorm2d | FWD:415.80±4.94us | BWD:1404.97±7.97us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:203 | Mixed_6e.branch7x7_2.conv | Type:Conv2d | FWD:444.72±5.55us | BWD:1877.73±7.50us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:258048

Hook:207 | Mixed_6e.branch7x7_3.bn | Type:BatchNorm2d | FWD:417.10±14.93us | BWD:1401.04±10.70us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:206 | Mixed_6e.branch7x7_3.conv | Type:Conv2d | FWD:452.01±3.89us | BWD:1893.82±8.98us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:258048

Hook:210 | Mixed_6e.branch7x7dbl_1.bn | Type:BatchNorm2d | FWD:431.91±14.11us | BWD:1418.57±13.20us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:209 | Mixed_6e.branch7x7dbl_1.conv | Type:Conv2d | FWD:746.21±9.59us | BWD:2356.21±16.40us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:213 | Mixed_6e.branch7x7dbl_2.bn | Type:BatchNorm2d | FWD:420.90±12.18us | BWD:1416.89±12.22us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

